Date,Open,High,Low,Close,Adj Close,Volume,RSI,Stochastic,MACD,MACD_Signal,EMA,ATR,ROC,OBV,AccDist,PSAR
2022-04-12,9.869999885559082,9.880000114440918,9.869999885559082,9.880000114440918,9.880000114440918,400,48.15773542766209,74.99940395298381,-0.0002954611114258654,-0.0008422365143771475,9.882679015301646,0.011331440893943728,0.1013194427334026,6740300.0,-5504338.548898365,9.853105652108308
2022-04-13,9.880000114440918,9.890000343322754,9.869999885559082,9.890000343322754,9.890000343322754,460100,53.95083787312929,100.0,0.0003163984924370311,-0.0006105095130143119,9.883376284636988,0.011950656384638594,0.2026388854668052,7200400.0,-5044238.548898365,9.853843545932596
2022-04-14,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,700,53.95083787312929,100.0,0.0007921699941242366,-0.0003299736115866022,9.884007147368965,0.011097038071450124,0.0,7200400.0,-5044238.548898365,9.8545666818804
2022-04-18,9.880000114440918,9.890000343322754,9.880000114440918,9.890000343322754,9.890000343322754,6700,53.950837873129274,100.0,0.0011558978658836594,-3.2799316092549917e-05,9.884577927935993,0.011018694557906253,0.10121689034415383,7200400.0,-5037538.548898365,9.855275355109246
2022-04-19,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,116000,47.34329786255891,74.99940395298381,0.0006299581638273821,9.97521798914365e-05,9.884141945698367,0.010945947009615516,0.0,7084400.0,-5037538.548898365,9.855969854873516
2022-04-20,9.880000114440918,9.890000343322754,9.880000114440918,9.880000114440918,9.880000114440918,50600,47.34329786255891,74.99940395298381,0.00021071813328532585,0.00012194537057021436,9.88374748557861,0.010878395714774117,-0.09100843947287819,7084400.0,-5088138.548898365,9.8566504646425
2022-04-21,9.880000114440918,9.880000114440918,9.869999885559082,9.880000114440918,9.880000114440918,18200,47.34329786255891,50.0,-0.00012014762435619275,7.352677158493295e-05,9.883390593089306,0.010815669512421392,0.0,7084400.0,-5069938.548898365,9.857317462216105
2022-04-22,9.880000114440918,9.885000228881836,9.869999885559082,9.885000228881836,9.885000228881836,18700,51.084507886859214,75.0,2.0865798697755622e-05,6.299457700749749e-05,9.883543891736215,0.011114574784587999,0.0,7103100.0,-5051238.548898365,9.857971119838238
2022-04-25,9.880000114440918,9.885000228881836,9.880000114440918,9.880000114440918,9.880000114440918,56000,47.453622906335525,50.0,-0.0002677609141255033,-3.156521219102663e-06,9.883206389136664,0.010677827617182997,0.0,7047100.0,-5107238.548898365,9.858611704307929
2022-04-26,9.885000228881836,9.890000343322754,9.885000228881836,9.890000343322754,9.890000343322754,3600,54.42981942350166,100.0,0.00030689750844281605,5.885428471328108e-05,9.883853432392481,0.010629427707515349,0.0,7050700.0,-5103638.548898365,9.859239477088225
2022-04-27,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,0,54.429819423501655,100.0,0.0007536310587923367,0.00019780963952909222,9.884438852481077,0.009870182871264252,0.0,7050700.0,-5103638.548898365,9.859854694412917
2022-04-28,9.890000343322754,9.890000343322754,9.880000114440918,9.890000343322754,9.890000343322754,6000,54.42981942350166,100.0,0.0010950475890236788,0.00037725722942800956,9.884968518275523,0.009879471872019372,0.10121689034415383,7050700.0,-5097638.548898365,9.860457607391114
2022-04-29,9.890000343322754,9.890000343322754,9.880000114440918,9.880000114440918,9.880000114440918,14000,46.68811909953527,50.0,0.0005523209416331554,0.00041226997186903874,9.884495336957942,0.009888097372720556,0.0,7036700.0,-5111638.548898365,9.861048462109746
2022-05-02,9.880000114440918,9.890000343322754,9.880000114440918,9.880000114440918,9.880000114440918,153200,46.68811909953527,50.0,0.00012081350060810792,0.0003539786776168526,9.884067220527749,0.0098961067662288,-0.10111454534566931,7036700.0,-5264838.548898365,9.861627499734006
2022-05-03,9.890000343322754,9.890000343322754,9.880000114440918,9.880000114440918,9.880000114440918,39900,46.68811909953527,50.0,-0.00021863892185436384,0.00023945515772260932,9.883679877090907,0.009903544060200737,-0.10111454534566931,7036700.0,-5304738.548898365,9.86219495660578
2022-05-04,9.880000114440918,9.890000343322754,9.880000114440918,9.890000343322754,9.890000343322754,38400,54.73010016501611,100.0,0.0003156389932517101,0.0002546919248284295,9.884281826255844,0.009910450118888966,0.0,7075100.0,-5266338.548898365,9.86275106434012
2022-05-05,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,3100,54.7301001650161,100.0,0.0007306357758185555,0.0003498806950264547,9.884826446928882,0.00920256082468261,0.10121689034415383,7075100.0,-5266338.548898365,9.863296049919773
2022-05-06,9.885000228881836,9.885000228881836,9.880000114440918,9.880000114440918,9.880000114440918,26900,46.58087927243738,50.0,0.00024971031545106825,0.0003298466191113774,9.884366796215742,0.009259537114479275,0.0,7048200.0,-5293238.548898365,9.863830135787833
2022-05-09,9.880000114440918,9.880000114440918,9.869999885559082,9.880000114440918,9.880000114440918,10600,46.58087927243738,50.0,-0.00012992883800322375,0.00023789152768845722,9.883950921760997,0.009312443669290463,0.0,7048200.0,-5282638.548898365,9.86435353993853
2022-05-10,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,46.58087927243738,50.0,-0.0004258862506762995,0.00010513597201550587,9.88357465439718,0.008647269121484,-0.05058284598020255,7048200.0,-5282638.548898365,9.864866476006215
2022-05-11,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,3000,39.27659414037108,0.0,-0.0014506473679798404,-0.00020602069598356338,9.882281819269743,0.008743909104366282,-0.10121689034415383,7045200.0,-5282638.548898365,9.865369153352546
2022-05-12,9.859999656677246,9.859999656677246,9.850000381469727,9.850000381469727,9.850000381469727,239100,29.360725088764113,0.0,-0.0038323933289152734,-0.0009312952225699054,9.879207396622123,0.009547880174722653,-0.4044485385688927,6806100.0,-5521738.548898365,9.890000343322754
2022-05-13,9.850000381469727,9.850000381469727,9.829999923706055,9.850000381469727,9.850000381469727,105100,29.360725088764113,33.33386314869268,-0.0056547596136482525,-0.0018759881007855749,9.876425776131418,0.010294492859647597,-0.4044485385688927,6806100.0,-5416638.548898365,9.889200344085694
2022-05-16,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,29.360725088764113,33.33386314869268,-0.007018097761360309,-0.0029044100329005218,9.873909071877923,0.00955917194110134,-0.4044485385688927,6806100.0,-5416638.548898365,9.886832327270508
2022-05-17,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,29.360725088764113,33.33386314869268,-0.008006261862714581,-0.003924780398863334,9.87163205374381,0.008876373945308385,-0.30364101845852065,6806100.0,-5416638.548898365,9.88455903112793
2022-05-18,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,29.360725088764113,33.33386314869268,-0.0086892250547983,-0.004877669330050328,9.869571894479611,0.008242347234929216,-0.30364101845852065,6806100.0,-5416638.548898365,9.882376666831055
2022-05-19,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,2400,29.360725088764113,33.33386314869268,-0.009125287669055737,-0.00572719299785141,9.867707940859622,0.007653608146719985,-0.30364101845852065,6806100.0,-5416638.548898365,9.880281597106055
2022-05-20,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,800,29.360725088764113,33.33386314869268,-0.00936294028513629,-0.0064543424553083865,9.866021506632013,0.007106921850525701,-0.4044485385688927,6806100.0,-5416638.548898365,9.878270330170055
2022-05-23,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,29.360725088764113,33.33386314869268,-0.009442435180524456,-0.0070519610003516005,9.864495685187986,0.00659928457548815,-0.4044485385688927,6806100.0,-5416638.548898365,9.876339513911496
2022-05-24,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,1800,29.360725088764113,33.33386314869268,-0.009397111407048797,-0.0075209910816910405,9.863115180071961,0.006127907105810425,-0.30364101845852065,6806100.0,-5416638.548898365,9.874485930303278
2022-05-25,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,29.360725088764113,36.36426688861146,-0.009254511739429816,-0.007867695213238796,9.861866151633654,0.005690199455395395,-0.30364101845852065,6806100.0,-5416638.548898365,9.87270649003939
2022-05-26,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,400,44.15186822563234,59.999237063457244,-0.008239660852357389,-0.007942088341062515,9.861688390209233,0.005997990580547119,-0.20243378068830767,6806500.0,-5416638.548898365,9.870998227386057
2022-05-27,9.859999656677246,9.864999771118164,9.859999656677246,9.864999771118164,9.864999771118164,4100,49.811121193778256,69.99942779759293,-0.006951780961472309,-0.0077440268651444745,9.862003759819608,0.005926713713430751,-0.0506597213667013,6810600.0,-5412538.548898365,9.869358295238857
2022-05-31,9.869999885559082,9.880000114440918,9.869999885559082,9.880000114440918,9.880000114440918,5800,62.18960837588015,100.0,-0.004666927095728468,-0.007128606911261274,9.863717698354971,0.0065748301140966916,0.3045658051712189,6816400.0,-5406738.548898365,9.829999923706055
2022-06-01,9.890000343322754,9.890000343322754,9.875,9.880000114440918,9.880000114440918,11400,62.18960837588014,83.33306842565366,-0.0028236150687686035,-0.00626760854276274,9.865268404648871,0.007176652486143636,0.3045658051712189,6816400.0,-5410538.548898365,9.830999927520752
2022-06-02,9.880000114440918,9.890000343322754,9.880000114440918,9.885000228881836,9.885000228881836,4100,65.48090891776562,91.66653421282683,-0.000948377256703381,-0.005203762285550868,9.867147626004392,0.007378336514407372,0.3553283863618188,6820500.0,-5410538.548898365,9.833359944152832
2022-06-03,9.880000114440918,9.880000114440918,9.869999885559082,9.880000114440918,9.880000114440918,1500,59.86861673422966,74.99940395298381,0.00013276434728126674,-0.0041364569589844415,9.868371672522157,0.00792276557214641,0.3045658051712189,6819000.0,-5409038.548898365,9.83562556011963
2022-06-06,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,4700,59.868616734229654,74.99940395298381,0.0009782996284961598,-0.003113505641488321,9.869479143181087,0.007356853745564523,0.3045658051712189,6819000.0,-5409038.548898365,9.837800551447755
2022-06-07,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,7600,59.868616734229654,74.99940395298381,0.0016296073316883763,-0.002164883046852982,9.870481140443928,0.006831364192309915,0.3045658051712189,6819000.0,-5409038.548898365,9.839888543122754
2022-06-08,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,234500,59.868616734229654,74.99940395298381,0.002121320121005965,-0.0013076424132811924,9.871387709396023,0.006343409607144921,0.3045658051712189,6819000.0,-5409038.548898365,9.841893015130754
2022-06-09,9.880000114440918,9.890000343322754,9.880000114440918,9.890000343322754,9.890000343322754,600,67.3878524794294,100.0,0.0032801296516904443,-0.0003900880002868652,9.873160341198568,0.006604610983908564,0.4060909675524187,6819600.0,-5408438.548898365,9.843817308258433
2022-06-10,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,0,67.3878524794294,100.0,0.004150648461752837,0.0005180592921210753,9.874764150924682,0.006132853056486524,0.4060909675524187,6819600.0,-5408438.548898365,9.845664629661007
2022-06-13,9.880000114440918,9.880000114440918,9.859999656677246,9.859999656677246,9.859999656677246,15600,40.7941768407432,24.998211858951436,0.0023921608630210756,0.0008928796063010754,9.873358008615401,0.007837698312845188,0.10151548040881934,6804000.0,-5424038.548898365,9.847438058207477
2022-06-14,9.859999656677246,9.875,9.850000381469727,9.850000381469727,9.850000381469727,88800,35.73262506782767,0.0,0.0001895043419004594,0.0007522045534209522,9.871133472696766,0.009063549756947205,-0.1014125309907893,6715200.0,-5512838.548898365,9.849140549612088
2022-06-15,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,1200,43.30781287573662,24.998211858951436,-0.0007407203158340536,0.000453619579569951,9.870073109266334,0.009130387289130943,-0.05068539844832883,6716400.0,-5512838.548898365,9.850000381469727
2022-06-16,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,10300,43.30781287573662,24.998211858951436,-0.0014610875512026666,7.067815341542746e-05,9.869113732829277,0.008478216768478732,-0.20243378068830767,6716400.0,-5512838.548898365,9.850000381469727
2022-06-17,9.854999542236328,9.859999656677246,9.850000381469727,9.854999542236328,9.854999542236328,400,40.53683253890273,12.49791383544334,-0.0024076967929893556,-0.00042499683586552916,9.867769524201378,0.008586863799838789,-0.2530422258603846,6716000.0,-5512838.587048103,9.890000343322754
2022-06-21,9.859999656677246,9.859999656677246,9.850000381469727,9.859999656677246,9.859999656677246,2600,44.37002595116289,24.998211858951436,-0.002723034542203351,-0.0008846043771330936,9.867029536818126,0.008687750328958842,-0.25291422990101275,6718600.0,-5510238.587048103,9.889200344085694
2022-06-22,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,300,38.96103297969319,0.0,-0.0037367252791700167,-0.0014550285575404783,9.86540771249923,0.008781430677427463,-0.30364101845852065,6718300.0,-5510238.587048103,9.888416344833374
